A,B,chi2,p,sig
LR,RF,0.5714285714285714,0.4496917979688908,n.s.
LR,XGB,0.42293233082706766,0.5154774829652424,n.s.
LR,MLP,69.62949101796407,1.1102230246251565e-16,SIG
LR,LGBM,0.9361702127659575,0.3332647150356335,n.s.
LR,Stack,89.25626043405676,0.0,SIG
RF,XGB,3.7411003236245954,0.05308947382626483,n.s.
RF,MLP,76.12472806381436,0.0,SIG
RF,LGBM,3.9460093896713615,0.04698265939502777,SIG
RF,Stack,99.68026644462948,0.0,SIG
XGB,MLP,65.45532915360502,5.551115123125783e-16,SIG
XGB,LGBM,0.13688212927756654,0.7114004848709066,n.s.
XGB,Stack,86.66756272401433,0.0,SIG
MLP,LGBM,66.77078085642317,3.3306690738754696e-16,SIG
MLP,Stack,0.9756637168141593,0.32327171456576453,n.s.
LGBM,Stack,88.43636363636364,0.0,SIG
