Experiment,Model,F1,AUC,PR-AUC,MCC
A5_Struct+Eng+TFIDF,LR,0.6311±0.0118,0.8473±0.0123,0.6663±0.0174,0.4800±0.0181
A4_Full+all_mpnet_base_v2,LGBM,0.6305±0.0141,0.8366±0.0104,0.6435±0.0209,0.4789±0.0211
A1_Structured,XGB,0.6302±0.0122,0.8432±0.0122,0.6511±0.0252,0.4789±0.0183
A2_Struct+Eng,XGB,0.6302±0.0127,0.8425±0.0112,0.6542±0.0212,0.4785±0.0191
A2_Struct+Eng,LR,0.6295±0.0098,0.8490±0.0116,0.6708±0.0178,0.4781±0.0153
A4_Full+all_mpnet_base_v2,RF,0.6291±0.0123,0.8398±0.0119,0.6456±0.0209,0.4768±0.0185
A2_Struct+Eng,LGBM,0.6287±0.0155,0.8437±0.0107,0.6560±0.0242,0.4760±0.0234
A1_Structured,RF,0.6287±0.0125,0.8444±0.0127,0.6548±0.0269,0.4770±0.0197
A2_Struct+Eng,RF,0.6285±0.0121,0.8420±0.0114,0.6514±0.0230,0.4758±0.0183
A4_Full+all_MiniLM_L6_v2,RF,0.6274±0.0114,0.8391±0.0120,0.6435±0.0251,0.4742±0.0173
A5_Struct+Eng+TFIDF,XGB,0.6272±0.0109,0.8380±0.0115,0.6466±0.0207,0.4737±0.0165
A4_Full+all_mpnet_base_v2,XGB,0.6270±0.0124,0.8387±0.0110,0.6465±0.0187,0.4735±0.0187
A1_Structured,LR,0.6269±0.0120,0.8445±0.0140,0.6559±0.0280,0.4742±0.0186
A5_Struct+Eng+TFIDF,RF,0.6258±0.0108,0.8396±0.0127,0.6454±0.0230,0.4719±0.0165
A4_Full+all_mpnet_base_v2,LR,0.6252±0.0094,0.8457±0.0120,0.6635±0.0158,0.4710±0.0145
A1_Structured,LGBM,0.6247±0.0101,0.8423±0.0115,0.6572±0.0241,0.4701±0.0153
A4_Full+all_MiniLM_L6_v2,LR,0.6245±0.0121,0.8448±0.0128,0.6620±0.0181,0.4698±0.0185
A4_Full+all_MiniLM_L6_v2,LGBM,0.6235±0.0147,0.8355±0.0102,0.6396±0.0184,0.4684±0.0222
A4_Full+all_MiniLM_L6_v2,XGB,0.6232±0.0131,0.8370±0.0111,0.6413±0.0212,0.4678±0.0197
A3_Struct+all_mpnet_base_v2,XGB,0.6232±0.0113,0.8380±0.0114,0.6379±0.0245,0.4679±0.0172
A3_Struct+all_MiniLM_L6_v2,RF,0.6231±0.0139,0.8364±0.0124,0.6342±0.0293,0.4682±0.0213
A5_Struct+Eng+TFIDF,LGBM,0.6227±0.0182,0.8372±0.0115,0.6492±0.0181,0.4670±0.0274
A3_Struct+all_MiniLM_L6_v2,LGBM,0.6227±0.0168,0.8344±0.0124,0.6403±0.0218,0.4669±0.0252
A3_Struct+all_mpnet_base_v2,LR,0.6225±0.0143,0.8416±0.0129,0.6526±0.0188,0.4672±0.0220
A3_Struct+all_mpnet_base_v2,LGBM,0.6224±0.0129,0.8366±0.0105,0.6438±0.0191,0.4666±0.0192
A3_Struct+all_MiniLM_L6_v2,LR,0.6215±0.0150,0.8411±0.0141,0.6505±0.0220,0.4657±0.0232
A3_Struct+all_mpnet_base_v2,RF,0.6192±0.0141,0.8380±0.0123,0.6387±0.0267,0.4616±0.0215
A3_Struct+all_MiniLM_L6_v2,XGB,0.6162±0.0134,0.8350±0.0124,0.6357±0.0244,0.4572±0.0205
A2_Struct+Eng,Stack,0.6102±0.0163,0.8491±0.0116,0.6704±0.0189,0.4829±0.0220
A1_Structured,Stack,0.6034±0.0272,0.8454±0.0136,0.6617±0.0298,0.4713±0.0339
A5_Struct+Eng+TFIDF,Stack,0.5987±0.0179,0.8471±0.0119,0.6664±0.0174,0.4669±0.0258
A4_Full+all_MiniLM_L6_v2,Stack,0.5970±0.0240,0.8443±0.0129,0.6610±0.0182,0.4682±0.0337
A4_Full+all_mpnet_base_v2,Stack,0.5961±0.0197,0.8455±0.0119,0.6636±0.0168,0.4667±0.0275
A3_Struct+all_mpnet_base_v2,Stack,0.5911±0.0293,0.8418±0.0135,0.6531±0.0223,0.4582±0.0401
A3_Struct+all_MiniLM_L6_v2,Stack,0.5890±0.0242,0.8415±0.0143,0.6518±0.0230,0.4595±0.0312
A1_Structured,MLP,0.5862±0.0247,0.8407±0.0153,0.6456±0.0282,0.4573±0.0373
A4_Full+all_MiniLM_L6_v2,MLP,0.5781±0.0155,0.8372±0.0099,0.6502±0.0144,0.4512±0.0179
A5_Struct+Eng+TFIDF,MLP,0.5777±0.0117,0.8388±0.0069,0.6508±0.0127,0.4487±0.0137
A2_Struct+Eng,MLP,0.5753±0.0314,0.8410±0.0141,0.6585±0.0252,0.4488±0.0333
A4_Full+all_mpnet_base_v2,MLP,0.5680±0.0141,0.8283±0.0130,0.6328±0.0213,0.4359±0.0229
A3_Struct+all_mpnet_base_v2,MLP,0.5608±0.0178,0.8322±0.0199,0.6273±0.0309,0.4315±0.0307
A3_Struct+all_MiniLM_L6_v2,MLP,0.5532±0.0291,0.8267±0.0144,0.6247±0.0300,0.4215±0.0320
