A,B,t,p,sig
LR,RF,0.8361235821938611,0.45012407283297096,n.s.
LR,XGB,0.7859391068658395,0.4758478379494577,n.s.
LR,MLP,5.46501352129148,0.005452174855747945,SIG
LR,LGBM,1.3208970133343214,0.2570346218685415,n.s.
LR,Stack,4.667467204171931,0.009536300767775336,SIG
RF,XGB,-0.5397249671210615,0.6180299276719646,n.s.
RF,MLP,6.717086119872603,0.002557615676614747,SIG
RF,LGBM,0.5939640425770516,0.5844982912973062,n.s.
RF,Stack,5.267843027673962,0.006221249313377243,SIG
XGB,MLP,7.24226496180607,0.0019291894124415442,SIG
XGB,LGBM,1.1480126089299294,0.3149523228916739,n.s.
XGB,Stack,5.2689080347560076,0.0062167514447407654,SIG
MLP,LGBM,-4.360252803695403,0.012059745085168116,SIG
MLP,Stack,-1.781156886027809,0.1494826132335776,n.s.
LGBM,Stack,5.670746719337727,0.004770033345648764,SIG
